address,city,date,id,injured,killed,source,state
N Stockton St and Academy St,Trenton,2020-02-19,1625047,0,0,https://www.trentonian.com/news/trenton-cops-investigate-shooting-on-north-stockton-street/article_4819f950-536f-11ea-8923-07508cf073e9.html,New Jersey
Court St,Copiague,2020-02-19,1625040,0,1,https://patch.com/new-york/islip/s/h0vxu/2-arrested-in-connection-to-fatal-shooting-in-copiague-pd?utm_source=alert-breakingnews&utm_medium=email&utm_term=police-fire&utm_campaign=alert,New York
Passaic St,Passaic,2020-02-19,1626575,0,0,https://www.rlsmedia.com/article/passaic-shooting-under-investigation,New Jersey
3555 SC-544,Conway,2020-02-19,1625808,0,1,https://www.wmbfnews.com/2020/02/28/man-arrested-charged-deadly-shooting-conway-area-apartment-complex/,South Carolina
1211 S 5th Ave,Pocatello,2020-02-19,1625815,0,0,https://www.kpvi.com/news/local_news/update-spent-shell-found-at-scene-of-reported-shooting/article_4e207f74-53f4-11ea-bf8a-9b01f6cf8cc2.html,Idaho
100 block of Penn St,Penns Grove,2020-02-19,1625043,1,0,https://www.nj.com/salem/2020/02/2-shootings-at-same-house-were-drug-related-cops-say.html,New Jersey
185 Old Dutch Fork Rd,Irmo,2020-02-19,1625806,0,1,https://www.thestate.com/news/local/crime/article240479601.html,South Carolina
200 block of Martin Luther King Jr Dr,Meridian,2020-02-19,1625785,0,0,https://www.wtok.com/content/news/Man-arrested-for-cocaine-guns-other-items-568055051.html,Mississippi
2021 Eden Ter,Rock Hill,2020-02-19,1625460,0,2,https://www.wbtv.com/2020/02/20/people-found-dead-inside-rock-hill-home/,South Carolina
303 E 29th St,Bryan,2020-02-19,1625030,2,0,https://www.kbtx.com/content/news/Two-Bryan-police-officers-injured-after-accidental-shooting-568032121.html,Texas
Burton St SE and Kalamazoo Ave,Grand Rapids,2020-02-19,1625021,1,0,https://www.mlive.com/news/grand-rapids/2020/02/teen-wounded-in-southeast-grand-rapids-shooting.html,Michigan
2500 block of 35th St,Lubbock,2020-02-19,1626523,0,0,https://www.kcbd.com/2020/02/21/woman-finds-bullet-hole-bathroom-window-block-th/,Texas
300 block of E Wright Ave,Baytown,2020-02-19,1626521,0,0,http://baytownsun.com/news/article_2b14e53c-544f-11ea-a873-038f890363ec.html,Texas
I-10,New Orleans,2020-02-19,1624995,1,0,https://www.fox8live.com/2020/02/20/woman-injured-shooting-i-new-orleans-east/,Louisiana
Loma Blanca Rd,Garciasville,2020-02-19,1625717,0,1,https://www.themonitor.com/2020/02/20/victim-starr-county-shooting-death-identified/,Texas
600 block of S Allen Blvd,Marshall,2020-02-19,1626517,0,0,https://www.marshallnewsmessenger.com/news/police-reports/article_46a9d58c-5445-11ea-92d6-7bac3d1be2f9.html,Texas
Plank Rd and Peerless St,Baton Rouge (Zion City),2020-02-19,1625715,0,0,https://www.wbrz.com/news/police-respond-to-reported-shooting-in-zion-city/,Louisiana
1000 block of Basket Willow Terrace,Fort Worth,2020-02-19,1624989,1,0,https://www.wfaa.com/article/news/local/1-shot-in-road-rage-incident-in-fort-worth-police-say/287-25deb373-dbd3-4eaa-9485-88c8d8edd06e,Texas
1225 N State St,Jackson,2020-02-19,1624514,0,3,https://mynorthwest.com/1725415/shooting-outside-mississippi-hospital-leaves-2-dead/?,Mississippi
Union Street,Manchester,2020-02-19,1625245,0,1,https://www.bostonglobe.com/metro/2020/02/19/suspicious-death-investigated-manchester/9a0tMjEio7SZgyXVAdrrcK/story.html?camp=bg:brief:rss:feedly&rss_id=feedly_rss_brief,New Hampshire
Washington Street and Harvard Avenue,Boston,2020-02-19,1625276,0,0,https://www.bostonglobe.com/2020/02/20/metro/boston-police-arrest-charlestown-man-illegal-gun-charges-after-leaving-weapon-car/?camp=bg:brief:rss:feedly&rss_id=feedly_rss_brief,Massachusetts
900 block of Artis Place,Toledo,2020-02-19,1625706,2,0,https://www.13abc.com/content/news/Police-investigate-a-double-shooting-on-Artis-place--568052761.html,Ohio
16700 Westfield Ave,Cleveland,2020-02-19,1625701,0,1,https://www.news5cleveland.com/news/local-news/cleveland-metro/cleveland-police-investigate-fatal-shooting-outside-auto-body-repair-shop,Ohio
6700 block of Tussing Rd,Columbus,2020-02-19,1625699,1,0,https://www.nbc4i.com/news/u-s-world/man-shot-during-burglary-in-east-columbus/,Ohio
7617 Reading Road,Cincinnati,2020-02-19,1624705,3,0,https://local12.com/news/local/13-year-old-takes-a-bullet-in-the-back-trying-to-save-girls-during-roselawn-shooting-cincinnati,Ohio
Choctaw Dr,Baton Rouge,2020-02-19,1626259,1,0,https://www.theadvocate.com/baton_rouge/news/crime_police/article_0a7120b8-55b5-11ea-87c7-f3d6d0f598bc.html,Louisiana
Brighton Rd and Quincy Dr,Columbus,2020-02-19,1625673,0,1,https://www.wtvm.com/2020/02/20/columbus-police-release-surveillance-photos-car-brighton-rd-drive-by-homicide/,Georgia
37th St and O St,Omaha,2020-02-19,1624957,1,0,https://www.ketv.com/article/police-15-year-old-injured-in-wednesday-afternoon-shooting/31006374,Nebraska
12900 block of Parton Ln,San Antonio,2020-02-19,1624977,1,0,https://news4sanantonio.com/news/local/sheriff-investigating-officer-involved-shooting-on-northeast-side,Texas
Wilbraham Road and Northampton,Springfield,2020-02-19,1624637,1,0,https://www.westernmassnews.com/news/man-seriously-injured-in-springfield-shooting/article_a5e7b0b6-536c-11ea-b67b-ef9372ea35a9.html?fbclid=IwAR39rW0Hehz8dhLAYNixI9FKk6KEGx_FCgakoyuWJVYatdkvo46w7QQmyj8,Massachusetts
US-287 and Harmon Rd,Fort Worth,2020-02-19,1625712,1,0,https://www.nbcdfw.com/news/local/driver-shot-in-arm-in-north-fort-worth-road-rage-incident/2315067/,Texas
